rank,finalWorth,personName,age,country,city,source,industries,selfMade,gender,birthYear,birthMonth,cpi_country,gdp_country,tertiary_education,primary_education,life_expectancy,total_tax_rate,population_country,latitude,longitude
699,4.0,Sid Bass,80.0,United States,Fort Worth,"Oil, investments",Energy,False,M,1942.0,4.0,117.24,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,328.239523,37.09024,-95.712891
699,4.0,Ben Chestnut,48.0,United States,Atlanta,Email marketing,Technology,True,M,1974.0,6.0,117.24,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,328.239523,37.09024,-95.712891
699,4.0,Elisabeth DeLuca & family,75.0,United States,,Subway,Food & Beverage,False,F,1947.0,7.0,117.24,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,328.239523,37.09024,-95.712891
699,4.0,Guangchang Guo,56.0,China,Shanghai,Conglomerate,Diversified,True,M,1967.0,2.0,125.08,"$19,910,000,000,000 ",50.6,100.2,77.0,59.2,1397.715,35.86166,104.195397
699,4.0,Vinod Rai Gupta,77.0,India,Delhi,Electrical equipment,Manufacturing,False,F,1945.0,9.0,180.44,"$2,611,000,000,000 ",28.1,113.0,69.4,49.7,1366.417754,20.593684,78.96288
699,4.0,John Henry,73.0,United States,Boca Raton,Sports,Sports,True,M,1949.0,9.0,117.24,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,328.239523,37.09024,-95.712891
699,4.0,Travis Kalanick,46.0,United States,Los Angeles,Uber,Technology,True,M,1976.0,8.0,117.24,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,328.239523,37.09024,-95.712891
699,4.0,Koon Poh Keong,61.0,Malaysia,Petaling Jaya,Aluminum,Manufacturing,True,M,1961.0,4.0,121.46,"$364,701,517,788 ",45.1,105.3,76.0,38.7,32.447385,4.210484,101.975766
699,4.0,Dan Kurzius,51.0,United States,Atlanta,Email marketing,Technology,True,M,1971.0,12.0,117.24,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,328.239523,37.09024,-95.712891
699,4.0,Paul Lee,65.0,China,Yuxi,Battery separators,Manufacturing,True,M,1958.0,1.0,125.08,"$19,910,000,000,000 ",50.6,100.2,77.0,59.2,1397.715,35.86166,104.195397
699,4.0,Tobi Lutke,42.0,Canada,Ottawa,E-commerce,Technology,True,M,1980.0,7.0,116.76,"$1,736,425,629,520 ",68.9,100.9,81.9,24.5,36.991981,56.130366,-106.346771
699,4.0,Gail Miller,79.0,United States,Salt Lake City,Car dealerships,Automotive,True,F,1943.0,10.0,117.24,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,328.239523,37.09024,-95.712891
699,4.0,Rajan Mittal,63.0,India,Delhi,Telecom,Telecom,False,M,1960.0,1.0,180.44,"$2,611,000,000,000 ",28.1,113.0,69.4,49.7,1366.417754,20.593684,78.96288
699,4.0,Rakesh Mittal,67.0,India,Delhi,Telecom,Telecom,False,M,1955.0,9.0,180.44,"$2,611,000,000,000 ",28.1,113.0,69.4,49.7,1366.417754,20.593684,78.96288
699,4.0,Isaac Perlmutter,80.0,United States,Palm Beach,Marvel comics,Media & Entertainment,True,M,1942.0,12.0,117.24,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,328.239523,37.09024,-95.712891
699,4.0,"Bernard Saul, II.",90.0,United States,Chevy Chase,"Banking, real estate",Finance & Investments,False,M,1932.0,4.0,117.24,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,328.239523,37.09024,-95.712891
699,4.0,Shaul Shani,68.0,Italy,Milan,Telecom,Telecom,True,M,1955.0,1.0,110.62,"$2,001,244,392,042 ",61.9,101.9,82.9,59.1,60.297396,41.87194,12.56738
699,4.0,Steven Spielberg,76.0,United States,Pacific Palisades,Movies,Media & Entertainment,True,M,1946.0,12.0,117.24,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,328.239523,37.09024,-95.712891
699,4.0,Jerzy Starak,75.0,Poland,Konstancin,Pharmaceuticals,Healthcare,True,M,1947.0,12.0,114.11,"$592,164,400,688 ",67.8,100.0,77.6,40.8,37.970874,51.919438,19.145136
699,4.0,Torbjorn Tornqvist,69.0,Switzerland,Geneva,Oil trading,Energy,True,M,1953.0,11.0,99.55,"$703,082,435,360 ",59.6,105.2,83.6,28.8,8.574832,46.818188,8.227512
699,4.0,Rufino Vigil Gonzalez,74.0,Mexico,Mexico City,Steel,Metals & Mining,True,M,1948.0,6.0,141.54,"$1,258,286,717,125 ",40.2,105.8,75.0,55.1,126.014024,23.634501,-102.552784
699,4.0,Zhang Daocai,73.0,China,Shaoxing,Valves,Diversified,True,M,1950.0,1.0,125.08,"$19,910,000,000,000 ",50.6,100.2,77.0,59.2,1397.715,35.86166,104.195397
721,3.9,Juergen Blickle,76.0,Germany,Bruchsal,Auto parts,Manufacturing,False,M,1947.0,1.0,112.85,"$3,845,630,030,824 ",70.2,104.0,80.9,48.8,83.132799,51.165691,10.451526
721,3.9,"Austen Cargill, II.",72.0,United States,Livingston,Cargill,Food & Beverage,False,M,1951.0,3.0,117.24,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,328.239523,37.09024,-95.712891
721,3.9,"James Cargill, II.",73.0,United States,Birchwood,Cargill,Food & Beverage,False,M,1949.0,4.0,117.24,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,328.239523,37.09024,-95.712891
721,3.9,Vanich Chaiyawan,91.0,Thailand,Bangkok,"Insurance, beverages",Finance & Investments,True,M,1932.0,1.0,113.27,"$543,649,976,166 ",49.3,99.8,76.9,29.5,69.625582,15.870032,100.992541
721,3.9,Chen Dongsheng,65.0,China,Beijing,Insurance,Finance & Investments,True,M,1957.0,12.0,125.08,"$19,910,000,000,000 ",50.6,100.2,77.0,59.2,1397.715,35.86166,104.195397
721,3.9,Mong-Koo Chung,85.0,South Korea,Seoul,Hyundai,Automotive,False,M,1938.0,3.0,115.16,"$2,029,000,000,000 ",94.3,98.1,82.6,33.2,51.709098,35.907757,127.766922
721,3.9,Kenneth Dart,67.0,Cayman Islands,George Town,Investments,Finance & Investments,False,M,1955.0,4.0,,,,,,,,,
721,3.9,Giuseppe De'Longhi & family,83.0,Italy,Treviso,Coffee makers,Fashion & Retail,False,M,1939.0,4.0,110.62,"$2,001,244,392,042 ",61.9,101.9,82.9,59.1,60.297396,41.87194,12.56738
721,3.9,Guenther Fielmann & family,83.0,Germany,Hamburg,Optometry,Healthcare,True,M,1939.0,9.0,112.85,"$3,845,630,030,824 ",70.2,104.0,80.9,48.8,83.132799,51.165691,10.451526
721,3.9,W. Herbert Hunt,94.0,United States,Dallas,Oil,Energy,False,M,1929.0,3.0,117.24,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,328.239523,37.09024,-95.712891
721,3.9,James Irsay,63.0,United States,Carmel,Indianapolis Colts,Sports,False,M,1959.0,6.0,117.24,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,328.239523,37.09024,-95.712891
721,3.9,Somurai Jaruphnit,,Thailand,Bangkok,Diversified,Diversified,False,F,,,113.27,"$543,649,976,166 ",49.3,99.8,76.9,29.5,69.625582,15.870032,100.992541
721,3.9,Marianne Liebmann,69.0,United States,Bozeman,Cargill,Food & Beverage,False,F,1953.0,7.0,117.24,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,328.239523,37.09024,-95.712891
721,3.9,Jorge Moll Filho & family,78.0,Brazil,Rio de Janeiro,Hospitals,Healthcare,True,M,1945.0,1.0,167.4,"$1,839,758,040,766 ",51.3,115.4,75.7,65.1,212.559417,-14.235004,-51.92528
721,3.9,Fernando Roberto Moreira Salles,76.0,Brazil,Sao Paulo,"Banking, minerals",Diversified,False,M,1946.0,5.0,167.4,"$1,839,758,040,766 ",51.3,115.4,75.7,65.1,212.559417,-14.235004,-51.92528
721,3.9,Pedro Moreira Salles,63.0,Brazil,Sao Paulo,"Banking, minerals",Diversified,False,M,1959.0,10.0,167.4,"$1,839,758,040,766 ",51.3,115.4,75.7,65.1,212.559417,-14.235004,-51.92528
721,3.9,Gabe Newell,60.0,United States,Seattle,Videogames,Gambling & Casinos,True,M,1962.0,11.0,117.24,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,328.239523,37.09024,-95.712891
721,3.9,Alfred Oetker,56.0,Germany,Bielefeld,Consumer goods,Fashion & Retail,False,M,1967.0,1.0,112.85,"$3,845,630,030,824 ",70.2,104.0,80.9,48.8,83.132799,51.165691,10.451526
721,3.9,Carl Ferdinand Oetker,50.0,Germany,Bielefeld,Consumer goods,Fashion & Retail,False,M,1972.0,10.0,112.85,"$3,845,630,030,824 ",70.2,104.0,80.9,48.8,83.132799,51.165691,10.451526
721,3.9,Julia Oetker,44.0,Germany,Bielefeld,Consumer goods,Fashion & Retail,False,F,1979.0,1.0,112.85,"$3,845,630,030,824 ",70.2,104.0,80.9,48.8,83.132799,51.165691,10.451526
721,3.9,Ruan Hongliang & family,62.0,China,Jiaxing,Glass,Manufacturing,True,M,1961.0,1.0,125.08,"$19,910,000,000,000 ",50.6,100.2,77.0,59.2,1397.715,35.86166,104.195397
721,3.9,Mark Stevens,63.0,United States,Steamboat Springs,Venture capital,Finance & Investments,True,M,1960.0,2.0,117.24,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,328.239523,37.09024,-95.712891
721,3.9,Tsai Hong-tu,70.0,Taiwan,Taipei,Finance,Finance & Investments,False,M,1952.0,8.0,,,,,,,,,
721,3.9,Nusli Wadia,79.0,India,Mumbai,Consumer goods,Food & Beverage,False,M,1944.0,2.0,180.44,"$2,611,000,000,000 ",28.1,113.0,69.4,49.7,1366.417754,20.593684,78.96288
721,3.9,Wu Yiling,73.0,China,Shijiazhuang,Pharmaceuticals,Healthcare,True,M,1949.0,10.0,125.08,"$19,910,000,000,000 ",50.6,100.2,77.0,59.2,1397.715,35.86166,104.195397
721,3.9,Yu Renrong,57.0,China,Ningbo,Semiconductors,Manufacturing,True,M,1966.0,4.0,125.08,"$19,910,000,000,000 ",50.6,100.2,77.0,59.2,1397.715,35.86166,104.195397
721,3.9,Zhu Baoguo & family,60.0,China,Shenzhen,Pharmaceuticals,Healthcare,True,M,1962.0,4.0,125.08,"$19,910,000,000,000 ",50.6,100.2,77.0,59.2,1397.715,35.86166,104.195397
748,3.8,Rahul Bhatia,63.0,India,Delhi,Aviation,Service,False,M,1959.0,6.0,180.44,"$2,611,000,000,000 ",28.1,113.0,69.4,49.7,1366.417754,20.593684,78.96288
748,3.8,Francesco Gaetano Caltagirone,80.0,Italy,Rome,"Cement, diversified",Construction & Engineering,True,M,1943.0,3.0,110.62,"$2,001,244,392,042 ",61.9,101.9,82.9,59.1,60.297396,41.87194,12.56738
748,3.8,Barry Diller,81.0,United States,New York,Online media,Media & Entertainment,True,M,1942.0,2.0,117.24,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,328.239523,37.09024,-95.712891
748,3.8,Wesley Edens,61.0,United States,New York,Investments,Finance & Investments,True,M,1961.0,10.0,117.24,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,328.239523,37.09024,-95.712891
748,3.8,Stephen Feinberg,63.0,United States,New York,Private equity,Finance & Investments,True,M,1960.0,3.0,117.24,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,328.239523,37.09024,-95.712891
748,3.8,Rakesh Gangwal,69.0,United States,Miami,Airline,Service,True,M,1953.0,7.0,117.24,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,328.239523,37.09024,-95.712891
748,3.8,Joseph Grendys,61.0,United States,Chicago,Poultry processing,Food & Beverage,True,M,1961.0,12.0,117.24,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,328.239523,37.09024,-95.712891
748,3.8,Martha Ingram & family,87.0,United States,Nashville,"Book distribution, transportation",Media & Entertainment,False,F,1935.0,8.0,117.24,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,328.239523,37.09024,-95.712891
748,3.8,Li Xiang,41.0,China,Beijing,Electric vehicles,Automotive,True,M,1981.0,10.0,125.08,"$19,910,000,000,000 ",50.6,100.2,77.0,59.2,1397.715,35.86166,104.195397
748,3.8,"H. Ross Perot, Jr.",64.0,United States,Dallas,Real estate,Real Estate,False,M,1958.0,11.0,117.24,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,328.239523,37.09024,-95.712891
748,3.8,Chandru Raheja,82.0,India,Mumbai,Real estate,Real Estate,False,M,1940.0,10.0,180.44,"$2,611,000,000,000 ",28.1,113.0,69.4,49.7,1366.417754,20.593684,78.96288
748,3.8,Trevor Rees-Jones,71.0,United States,Dallas,Oil & gas,Energy,True,M,1951.0,8.0,117.24,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,328.239523,37.09024,-95.712891
748,3.8,Yasumitsu Shigeta,58.0,Japan,Tokyo,Mobile phone retailer,Telecom,True,M,1965.0,2.0,105.48,"$5,081,769,542,380 ",63.2,98.8,84.2,46.7,126.226568,36.204824,138.252924
748,3.8,Su Qingcan,54.0,China,Xiamen,Healthcare,Healthcare,True,M,1969.0,1.0,125.08,"$19,910,000,000,000 ",50.6,100.2,77.0,59.2,1397.715,35.86166,104.195397
748,3.8,Tsai Cheng-ta,73.0,Taiwan,Taipei,Finance,Finance & Investments,False,M,1950.0,4.0,,,,,,,,,
748,3.8,Steven Udvar-Hazy,77.0,United States,Westlake,Aircraft leasing,Service,True,M,1946.0,2.0,117.24,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,328.239523,37.09024,-95.712891
748,3.8,Elizabeth Uihlein,77.0,United States,Lake Forest,Packaging materials,Manufacturing,True,F,1945.0,7.0,117.24,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,328.239523,37.09024,-95.712891
748,3.8,Richard Uihlein,77.0,United States,Lake Forest,Packaging materials,Manufacturing,True,M,1945.0,8.0,117.24,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,328.239523,37.09024,-95.712891
766,3.7,Hayes Barnard,51.0,United States,Austin,Fintech,Finance & Investments,True,M,1972.0,2.0,117.24,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,328.239523,37.09024,-95.712891
766,3.7,William Berkley,76.0,United States,Coconut Grove,Insurance,Finance & Investments,True,M,1946.0,9.0,117.24,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,328.239523,37.09024,-95.712891
766,3.7,Charles Cohen,71.0,United States,New York,Real estate,Real Estate,False,M,1952.0,2.0,117.24,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,328.239523,37.09024,-95.712891
766,3.7,Yakir Gabay,56.0,United Kingdom,London,Real estate,Real Estate,True,M,1966.0,4.0,119.62,"$2,827,113,184,696 ",60.0,101.2,81.3,30.6,66.834405,55.378051,-3.435973
766,3.7,Huang Li,59.0,China,Wuhan,Imaging systems,Technology,True,M,1963.0,6.0,125.08,"$19,910,000,000,000 ",50.6,100.2,77.0,59.2,1397.715,35.86166,104.195397
766,3.7,Brad Jacobs,66.0,United States,Greenwich,Logistics,Logistics,True,M,1956.0,7.0,117.24,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,328.239523,37.09024,-95.712891
766,3.7,Ji Qi,56.0,China,Shanghai,"Hotels, motels",Real Estate,True,M,1966.0,10.0,125.08,"$19,910,000,000,000 ",50.6,100.2,77.0,59.2,1397.715,35.86166,104.195397
766,3.7,Jason Jiang,50.0,China,Shanghai,Advertising,Media & Entertainment,True,M,1973.0,1.0,125.08,"$19,910,000,000,000 ",50.6,100.2,77.0,59.2,1397.715,35.86166,104.195397
766,3.7,Jim Kavanaugh,60.0,United States,St. Louis,IT provider,Technology,True,M,1962.0,10.0,117.24,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,328.239523,37.09024,-95.712891
766,3.7,Richard LeFrak & family,77.0,United States,New York,Real estate,Real Estate,False,M,1945.0,8.0,117.24,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,328.239523,37.09024,-95.712891
766,3.7,Mikhail Lomtadze,47.0,Kazakhstan,Almaty,Fintech,Finance & Investments,True,M,1975.0,10.0,182.75,"$180,161,741,180 ",61.7,104.4,73.2,28.4,18.51393,48.019573,66.923684
766,3.7,Tom Morris,68.0,United Kingdom,Merseyside,Retail,Fashion & Retail,True,M,1954.0,10.0,119.62,"$2,827,113,184,696 ",60.0,101.2,81.3,30.6,66.834405,55.378051,-3.435973
766,3.7,Shigenobu Nagamori,78.0,Japan,Kyoto,Motors,Manufacturing,True,M,1944.0,8.0,105.48,"$5,081,769,542,380 ",63.2,98.8,84.2,46.7,126.226568,36.204824,138.252924
766,3.7,Daniel Och,62.0,United States,Miami Beach,Hedge funds,Finance & Investments,True,M,1961.0,1.0,117.24,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,328.239523,37.09024,-95.712891
766,3.7,Horst Paulmann & family,88.0,Chile,Santiago,Retail,Fashion & Retail,True,M,1935.0,1.0,131.91,"$282,318,159,745 ",88.5,101.4,80.0,34.0,18.952038,-35.675147,-71.542969
766,3.7,Anthony Pritzker,62.0,United States,Los Angeles,"Hotels, investments",Service,False,M,1961.0,1.0,117.24,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,328.239523,37.09024,-95.712891
766,3.7,John Sall,75.0,United States,Cary,Software,Technology,True,M,1948.0,4.0,117.24,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,328.239523,37.09024,-95.712891
766,3.7,Howard Schultz,69.0,United States,Seattle,Starbucks,Food & Beverage,True,M,1953.0,7.0,117.24,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,328.239523,37.09024,-95.712891
766,3.7,Richard Schulze,82.0,United States,Naples,Best Buy,Fashion & Retail,True,M,1941.0,1.0,117.24,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,328.239523,37.09024,-95.712891
766,3.7,Yitzhak Tshuva,74.0,Israel,Netanya,Real estate,Real Estate,True,M,1948.0,7.0,108.15,"$395,098,666,122 ",63.4,104.9,82.8,25.3,9.0533,31.046051,34.851612
766,3.7,Wang Yanqing & family,56.0,China,Wuxi,Electrical equipment,Manufacturing,True,M,1966.0,4.0,125.08,"$19,910,000,000,000 ",50.6,100.2,77.0,59.2,1397.715,35.86166,104.195397
787,3.6,Rajiv Bajaj,56.0,India,Pune,Diversified,Diversified,False,M,1966.0,12.0,180.44,"$2,611,000,000,000 ",28.1,113.0,69.4,49.7,1366.417754,20.593684,78.96288
787,3.6,Sanjiv Bajaj,53.0,India,Pune,Diversified,Diversified,False,M,1969.0,11.0,180.44,"$2,611,000,000,000 ",28.1,113.0,69.4,49.7,1366.417754,20.593684,78.96288
787,3.6,Leonid Boguslavsky,71.0,Italy,Florence,Venture capital,Finance & Investments,True,M,1951.0,6.0,110.62,"$2,001,244,392,042 ",61.9,101.9,82.9,59.1,60.297396,41.87194,12.56738
787,3.6,Jim Coulter,63.0,United States,San Francisco,Private equity,Finance & Investments,True,M,1959.0,12.0,117.24,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,328.239523,37.09024,-95.712891
787,3.6,Nicolas D'Ieteren,47.0,Switzerland,Anzere,"Auto parts, distribution",Automotive,False,M,1975.0,4.0,99.55,"$703,082,435,360 ",59.6,105.2,83.6,28.8,8.574832,46.818188,8.227512
787,3.6,Beatriz Davila de Santo Domingo,84.0,Bermuda,,Beer,Food & Beverage,False,F,1939.0,3.0,,,,,,,,,
787,3.6,Bob Gaglardi,82.0,Canada,Vancouver,Hotels,Real Estate,True,M,1941.0,2.0,116.76,"$1,736,425,629,520 ",68.9,100.9,81.9,24.5,36.991981,56.130366,-106.346771
787,3.6,Jaime Gilinski Bacal,65.0,United Kingdom,London,Banking,Finance & Investments,False,M,1957.0,12.0,119.62,"$2,827,113,184,696 ",60.0,101.2,81.3,30.6,66.834405,55.378051,-3.435973
787,3.6,Pansy Ho,60.0,Hong Kong,Hong Kong,Casinos,Gambling & Casinos,False,F,1962.0,8.0,125.08,"$19,910,000,000,000",50.6,100.2,77.0,59.2,1397.715,35.86166,104.195397
787,3.6,Alan Howard,59.0,Switzerland,Geneva,Hedge funds,Finance & Investments,True,M,1963.0,9.0,99.55,"$703,082,435,360 ",59.6,105.2,83.6,28.8,8.574832,46.818188,8.227512
787,3.6,Huang Yi,61.0,China,Beijing,Car dealerships,Automotive,True,M,1962.0,1.0,125.08,"$19,910,000,000,000 ",50.6,100.2,77.0,59.2,1397.715,35.86166,104.195397
787,3.6,Peter Kellogg,80.0,United States,Short Hills,Investments,Finance & Investments,False,M,1942.0,9.0,117.24,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,328.239523,37.09024,-95.712891
787,3.6,Vyacheslav Kim,53.0,Kazakhstan,Almaty,Fintech,Finance & Investments,True,M,1969.0,6.0,182.75,"$180,161,741,180 ",61.7,104.4,73.2,28.4,18.51393,48.019573,66.923684
787,3.6,Josh Kushner,37.0,United States,New York City,Venture capital,Finance & Investments,True,M,1985.0,6.0,117.24,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,328.239523,37.09024,-95.712891
787,3.6,Samuel Tak Lee,83.0,Hong Kong,Hong Kong,Real estate,Real Estate,False,M,1939.0,4.0,125.08,"$19,910,000,000,000",50.6,100.2,77.0,59.2,1397.715,35.86166,104.195397
787,3.6,Edwin Leong,71.0,Hong Kong,Hong Kong,Real estate,Real Estate,True,M,1951.0,12.0,125.08,"$19,910,000,000,000",50.6,100.2,77.0,59.2,1397.715,35.86166,104.195397
787,3.6,"Stephen Mandel, Jr.",67.0,United States,Greenwich,Hedge funds,Finance & Investments,True,M,1956.0,3.0,117.24,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,328.239523,37.09024,-95.712891
787,3.6,Mohamed Mansour,75.0,United Kingdom,London,Diversified,Diversified,True,M,1948.0,1.0,119.62,"$2,827,113,184,696 ",60.0,101.2,81.3,30.6,66.834405,55.378051,-3.435973
787,3.6,Masahiro Miki,67.0,Japan,Tokyo,Shoes,Fashion & Retail,True,M,1955.0,7.0,105.48,"$5,081,769,542,380 ",63.2,98.8,84.2,46.7,126.226568,36.204824,138.252924
787,3.6,Masahiro Noda,84.0,Japan,Tokyo,Software,Technology,True,M,1938.0,8.0,105.48,"$5,081,769,542,380 ",63.2,98.8,84.2,46.7,126.226568,36.204824,138.252924
787,3.6,Cliff Obrecht,37.0,Australia,Sydney,Software,Technology,True,M,1985.0,12.0,119.8,"$1,392,680,589,329 ",113.1,100.3,82.7,47.4,25.766605,-25.274398,133.775136
787,3.6,Melanie Perkins,35.0,Australia,Sydney,Software,Technology,True,F,1987.0,5.0,119.8,"$1,392,680,589,329 ",113.1,100.3,82.7,47.4,25.766605,-25.274398,133.775136
787,3.6,J.B. Pritzker,58.0,United States,Springfield,"Hotels, investments",Finance & Investments,False,M,1965.0,1.0,117.24,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,328.239523,37.09024,-95.712891
787,3.6,Juan Roig,73.0,Spain,Valencia,Supermarkets,Fashion & Retail,False,M,1949.0,10.0,110.96,"$1,394,116,310,769 ",88.9,102.7,83.3,47.0,47.076781,40.463667,-3.74922
787,3.6,Jerry Speyer & family,82.0,United States,New York,Real estate,Real Estate,True,M,1940.0,6.0,117.24,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,328.239523,37.09024,-95.712891
787,3.6,Lawrence Stroll,63.0,Switzerland,Geneva,Fashion investments,Fashion & Retail,True,M,1959.0,7.0,99.55,"$703,082,435,360 ",59.6,105.2,83.6,28.8,8.574832,46.818188,8.227512
787,3.6,Tung Chee Chen,80.0,Hong Kong,Hong Kong,Shipping,Logistics,False,M,1942.0,12.0,125.08,"$19,910,000,000,000",50.6,100.2,77.0,59.2,1397.715,35.86166,104.195397
787,3.6,Wang Junlin,60.0,China,Chengdu,Liquor,Food & Beverage,True,M,1962.0,9.0,125.08,"$19,910,000,000,000 ",50.6,100.2,77.0,59.2,1397.715,35.86166,104.195397
787,3.6,Xia Zuoquan,61.0,China,Shenzhen,"Automobiles, batteries",Automotive,True,M,1962.0,1.0,125.08,"$19,910,000,000,000 ",50.6,100.2,77.0,59.2,1397.715,35.86166,104.195397
787,3.6,Zeng Fangqin,57.0,China,Shenzhen,Smartphone components,Technology,True,F,1965.0,12.0,125.08,"$19,910,000,000,000 ",50.6,100.2,77.0,59.2,1397.715,35.86166,104.195397
787,3.6,Zhang Jian,54.0,China,Tianjin,"Electric bikes, scooters",Manufacturing,True,M,1969.0,1.0,125.08,"$19,910,000,000,000 ",50.6,100.2,77.0,59.2,1397.715,35.86166,104.195397
818,3.5,Rocco Basilico,33.0,United States,Los Angeles,Eyeglasses,Fashion & Retail,False,M,1989.0,7.0,117.24,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,328.239523,37.09024,-95.712891
818,3.5,Maurizio Billi,65.0,Brazil,Sao Paulo,Generic drugs,Healthcare,False,M,1957.0,11.0,167.4,"$1,839,758,040,766 ",51.3,115.4,75.7,65.1,212.559417,-14.235004,-51.92528
818,3.5,Fashu Chen,62.0,China,Fuzhou,Investments,Finance & Investments,True,M,1960.0,10.0,125.08,"$19,910,000,000,000 ",50.6,100.2,77.0,59.2,1397.715,35.86166,104.195397
818,3.5,Giuseppe Crippa & family,87.0,Italy,Cernusco Lombardone,Microchip testing,Manufacturing,True,M,1935.0,5.0,110.62,"$2,001,244,392,042 ",61.9,101.9,82.9,59.1,60.297396,41.87194,12.56738
818,3.5,Daniel D'Aniello,76.0,United States,Vienna,Private equity,Finance & Investments,True,M,1946.0,9.0,117.24,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,328.239523,37.09024,-95.712891
818,3.5,Claudio Del Vecchio,66.0,United States,Muttontown,Eyeglasses,Fashion & Retail,False,M,1957.0,2.0,117.24,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,328.239523,37.09024,-95.712891
818,3.5,Clemente Del Vecchio,18.0,Italy,Milan,Eyeglases,Fashion & Retail,False,M,2004.0,5.0,110.62,"$2,001,244,392,042 ",61.9,101.9,82.9,59.1,60.297396,41.87194,12.56738
818,3.5,Leonardo Maria Del Vecchio,27.0,Italy,Milan,Eyeglasses,Fashion & Retail,False,M,1995.0,5.0,110.62,"$2,001,244,392,042 ",61.9,101.9,82.9,59.1,60.297396,41.87194,12.56738
818,3.5,Luca Del Vecchio,21.0,Italy,Milan,Eyeglasses,Fashion & Retail,False,M,2001.0,8.0,110.62,"$2,001,244,392,042 ",61.9,101.9,82.9,59.1,60.297396,41.87194,12.56738
818,3.5,Marisa Del Vecchio,64.0,Italy,Rome,Eyeglasses,Fashion & Retail,False,F,1958.0,7.0,110.62,"$2,001,244,392,042 ",61.9,101.9,82.9,59.1,60.297396,41.87194,12.56738
818,3.5,Paola Del Vecchio,61.0,Luxembourg,Luxembourg,Eyeglasses,Fashion & Retail,False,F,1961.0,5.0,115.09,"$71,104,919,108 ",19.2,102.3,82.1,20.4,0.645397,49.815273,6.129583
818,3.5,Walter P.J. Droege,70.0,Germany,Dusseldorf,Investing,Finance & Investments,True,M,1952.0,11.0,112.85,"$3,845,630,030,824 ",70.2,104.0,80.9,48.8,83.132799,51.165691,10.451526
818,3.5,Fan Daidi,57.0,China,Xian,Skincare,Fashion & Retail,True,F,1966.0,1.0,125.08,"$19,910,000,000,000 ",50.6,100.2,77.0,59.2,1397.715,35.86166,104.195397
818,3.5,Peter Gassner,58.0,United States,Pleasanton,Software,Technology,True,M,1965.0,2.0,117.24,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,328.239523,37.09024,-95.712891
818,3.5,Mikhail Gutseriev,65.0,Russia,Moscow,"Oil, coal, real estate",Energy,True,M,1958.0,3.0,180.75,"$1,699,876,578,871 ",81.9,102.6,72.7,46.2,144.373535,61.52401,105.318756
